bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
way/222903017-220,220,f,Substation,f,way/222903017,-3.976265041853687,38.62572024453655,ES,POINT (-3.976265041853687 38.625720244536545)
way/223207745-400,400,f,Substation,f,way/223207745,-3.0910274473844064,43.35873926762391,ES,POINT (-3.0910274473844064 43.35873926762391)
way/226363063-220,220,f,Substation,f,way/226363063,-2.625847356142859,40.703171715876806,ES,POINT (-2.625847356142859 40.703171715876806)
way/226363063-400,400,f,Substation,f,way/226363063,-2.6256381788291483,40.7033924950935,ES,POINT (-2.6256381788291483 40.7033924950935)
way/226886241-400,400,f,Substation,f,way/226886241,-3.0798309552037693,40.03409983545514,ES,POINT (-3.0798309552037693 40.03409983545514)
way/23882397-220,220,f,Substation,f,way/23882397,-3.883815945468069,40.44840769060038,ES,POINT (-3.883815945468069 40.44840769060038)
way/24378549-220,220,f,Substation,f,way/24378549,-3.806165341323693,40.46461824701103,ES,POINT (-3.8061653413236933 40.464618247011025)
way/251407376-220,220,f,Substation,f,way/251407376,-3.660571664361592,40.49071370009056,ES,POINT (-3.6605716643615924 40.49071370009056)
way/256334221,320,t,Substation,f,way/256334221,2.9442519990141243,42.230385376033,ES,POINT (2.9442519990141243 42.230385376033)
way/257573127-220,220,f,Substation,f,way/257573127,-5.925379122655829,43.57364595064447,ES,POINT (-5.925379122655829 43.57364595064447)
way/258916144-220,220,f,Substation,f,way/258916144,-0.8816195256244366,40.7933814640442,ES,POINT (-0.8816195256244366 40.793381464044195)
way/260018670-400,400,f,Substation,f,way/260018670,-3.113961938516768,39.98177668785486,ES,POINT (-3.113961938516768 39.98177668785486)
way/261594435-220,220,f,Substation,f,way/261594435,-0.2792107313528177,39.06091960821404,ES,POINT (-0.2792107313528177 39.06091960821404)
way/263366365-220,220,f,Substation,f,way/263366365,0.1936638587691194,41.92345739917595,ES,POINT (0.1936638587691194 41.92345739917595)
way/264348139-220,220,f,Substation,f,way/264348139,1.2300411177714374,41.19909394429392,ES,POINT (1.2300411177714374 41.19909394429392)
